Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 17 , 160 ) = 1
664.muchia  ( 70 , 136 ) = 46
665.muchia  ( 77 , 156 ) = 46
666.muchia  ( 421 , 585 ) = 46
667.muchia  ( 252 , 309 ) = 47
668.muchia  ( 321 , 652 ) = 47
669.muchia  ( 98 , 281 ) = 48
670.muchia  ( 126 , 235 ) = 49
671.muchia  ( 2 , 477 ) = 50
672.muchia  ( 49 , 438 ) = 50
673.muchia  ( 103 , 188 ) = 50
674.muchia  ( 179 , 308 ) = 50
675.muchia  ( 28 , 99 ) = 51
676.muchia  ( 99 , 401 ) = 51
677.muchia  ( 391 , 499 ) = 52
678.muchia  ( 157 , 568 ) = 53
679.muchia  ( 271 , 581 ) = 53
680.muchia  ( 480 , 644 ) = 53
681.muchia  ( 146 , 172 ) = 54
682.muchia  ( 4 , 450 ) = 55
683.muchia  ( 75 , 420 ) = 55
684.muchia  ( 300 , 327 ) = 55
685.muchia  ( 301 , 480 ) = 56
686.muchia  ( 452 , 592 ) = 58
687.muchia  ( 16 , 46 ) = 59
688.muchia  ( 15 , 479 ) = 60
689.muchia  ( 153 , 254 ) = 64
690.muchia  ( 188 , 209 ) = 64
691.muchia  ( 169 , 474 ) = 65
692.muchia  ( 12 , 615 ) = 66
693.muchia  ( 277 , 584 ) = 75
694.muchia  ( 74 , 511 ) = 77
695.muchia  ( 43 , 591 ) = 79
696.muchia  ( 48 , 127 ) = 90
697.muchia  ( 119 , 658 ) = 105
698.muchia  ( 430 , 647 ) = 112
699.muchia  ( 84 , 512 ) = 116
Prin urmare costul arborelui minim de acoperire gasit este: 12790
Timpul de executie: 499.54057216644287
